"orderid","customerid","orderdate","totalamount"
1,1,"2024-01-01",75
2,12,"2024-08-15",340
3,3,"2024-10-25",205
4,13,"2006-12-08",392
5,4,"2015-05-04",399
6,6,"2017-03-18",210
7,12,"2017-05-22",540
8,3,"2018-12-05",506
9,18,"2024-02-16",234
10,19,"2010-04-24",343
11,12,"2011-12-06",352
12,19,"2017-10-04",235
13,17,"2019-06-22",548
14,7,"2001-10-13",281
15,17,"2003-10-12",292
16,8,"2004-01-17",592
17,10,"2024-06-07",233
18,18,"2023-04-16",592
19,17,"2022-04-20",557
20,18,"2009-10-14",313
21,12,"2024-08-17",484
22,8,"2021-07-26",313
23,13,"2002-10-23",447
24,18,"2021-11-04",229
25,8,"2020-04-26",496
26,5,"2018-12-01",477
27,7,"2015-04-25",580
28,2,"2021-07-28",451
29,6,"2003-07-21",298
30,1,"2024-05-15",533
31,11,"2009-04-03",250
32,10,"2004-04-05",523
33,13,"2011-11-11",256
34,6,"2024-12-20",439
35,3,"2014-03-12",556
36,8,"2019-06-16",450
37,8,"2022-05-05",552
38,18,"2004-11-22",396
39,18,"2020-09-20",513
40,12,"2004-09-28",286
41,8,"2021-04-27",324
42,4,"2004-08-27",274
43,20,"2006-06-22",318
44,6,"2007-01-20",424
45,5,"2017-11-18",296
46,13,"2018-12-14",538
47,11,"2007-01-12",342
48,16,"2014-10-04",401
49,7,"2015-01-01",213
50,9,"2008-09-20",489
51,20,"2013-05-25",276
52,20,"2007-06-04",490
53,13,"2014-12-21",213
54,5,"2019-09-22",251
55,4,"2004-01-26",369
56,17,"2011-01-28",525
57,10,"2018-03-02",506
58,14,"2009-03-04",446
59,8,"2023-09-05",532
60,13,"2018-05-21",321
61,11,"2022-12-26",464
62,15,"2011-12-24",307
63,11,"2012-10-19",219
64,20,"2005-10-25",583
65,14,"2014-10-05",385
66,13,"2023-04-26",224
67,9,"2013-12-04",531
68,19,"2002-07-05",442
69,10,"2011-05-21",221
70,6,"2009-02-02",494
71,15,"2002-02-03",369
72,20,"2022-11-13",472
73,4,"2002-09-19",337
74,5,"2001-01-16",308
75,13,"2022-06-15",277
76,1,"2018-04-06",484
77,20,"2014-05-03",228
78,15,"2002-04-11",353
79,11,"2020-07-04",343
80,3,"2003-09-17",206
81,2,"2019-04-28",316
82,3,"2019-11-19",391
83,7,"2020-06-22",587
84,12,"2017-01-06",365
85,2,"2011-11-02",502
86,16,"2014-04-08",405
87,10,"2014-08-14",398
88,1,"2004-10-10",485
89,10,"2016-12-22",277
90,1,"2007-12-09",589
91,1,"2004-12-27",243
92,5,"2006-06-27",505
93,16,"2019-12-25",240
94,13,"2024-09-22",582
95,11,"2021-06-01",329
96,8,"2023-09-12",507
97,10,"2004-12-03",507
98,18,"2012-03-02",379
99,16,"2017-07-07",303
100,19,"2004-06-13",315
101,15,"2008-12-26",541
102,19,"2011-06-22",583
103,16,"2005-05-10",371
104,5,"2024-02-03",328
105,6,"2021-04-09",448
106,8,"2022-05-02",593
107,10,"2009-07-02",447
108,18,"2003-09-25",548
109,11,"2019-09-14",539
110,11,"2005-11-12",357
111,11,"2018-04-08",395
112,16,"2003-11-19",370
113,5,"2013-03-12",396
114,11,"2016-11-26",568
115,9,"2021-11-21",301
116,4,"2004-11-20",383
117,8,"2017-07-26",257
118,16,"2024-10-10",567
119,15,"2024-11-11",548
120,11,"2007-03-05",578
121,16,"2001-11-09",448
122,2,"2014-11-01",591
123,6,"2019-06-22",306
124,5,"2004-05-09",491
125,18,"2005-03-27",308
126,10,"2023-06-02",331
127,10,"2021-11-26",352
128,2,"2003-01-22",443
129,2,"2009-07-16",345
130,15,"2017-09-01",328
131,6,"2005-11-25",525
132,3,"2015-07-14",562
133,10,"2002-02-10",572
134,19,"2008-07-07",283
135,18,"2018-04-24",530
136,11,"2006-09-17",482
137,14,"2014-05-21",413
138,20,"2017-09-20",413
139,11,"2022-10-14",560
140,14,"2023-11-21",276
141,5,"2010-02-13",222
142,17,"2005-03-12",411
143,4,"2014-12-26",456
144,5,"2017-02-16",523
145,16,"2012-08-09",265
146,17,"2014-07-17",469
147,15,"2012-12-13",344
148,15,"2012-09-28",307
149,13,"2012-01-04",233
150,7,"2012-05-17",393
151,4,"2012-04-14",200
152,3,"2004-10-26",406
153,2,"2015-07-19",446
154,1,"2009-02-13",494
155,11,"2009-06-08",250
156,4,"2023-09-05",375
157,1,"2005-06-07",426
158,9,"2018-04-27",534
159,17,"2012-07-05",279
160,1,"2019-01-28",592
161,16,"2015-12-22",209
162,4,"2010-06-14",582
163,14,"2013-07-04",215
164,17,"2017-02-22",485
165,12,"2009-02-22",351
166,7,"2017-01-06",344
167,5,"2015-10-26",318
168,6,"2022-05-14",534
169,11,"2004-03-22",579
170,16,"2004-08-17",575
171,1,"2010-07-06",241
172,4,"2007-09-22",508
173,2,"2013-07-25",458
174,19,"2003-10-26",406
175,5,"2011-12-25",438
176,19,"2015-01-05",276
177,19,"2006-11-23",364
178,3,"2003-03-22",500
179,14,"2011-09-15",277
180,2,"2010-10-22",499
181,8,"2016-12-01",364
182,20,"2011-12-10",237
183,6,"2007-07-26",463
184,8,"2007-12-02",309
185,9,"2023-02-14",332
186,14,"2022-05-18",587
187,8,"2011-10-11",205
188,1,"2010-11-08",494
189,10,"2002-06-14",510
190,10,"2024-12-01",487
191,2,"2013-08-16",504
192,11,"2003-05-23",250
193,20,"2005-08-07",224
194,20,"2007-10-25",311
195,17,"2022-06-26",221
196,11,"2005-11-14",436
197,17,"2003-08-09",281
198,18,"2003-12-10",455
199,5,"2002-07-18",300
200,15,"2015-08-07",382
201,9,"2006-02-16",315
202,15,"2016-05-01",594
203,12,"2007-12-20",358
204,1,"2015-05-10",438
205,5,"2017-06-17",338
206,1,"2014-06-21",543
207,19,"2018-05-27",464
208,19,"2021-10-11",293
209,11,"2012-06-04",402
210,4,"2011-03-24",479
211,17,"2006-02-06",539
212,2,"2007-10-16",277
213,13,"2018-02-05",581
214,11,"2002-12-10",411
215,20,"2021-02-04",450
216,18,"2016-04-02",362
217,17,"2014-12-03",481
218,4,"2014-10-08",385
219,4,"2017-07-28",579
220,17,"2002-08-27",547
221,13,"2018-04-11",367
222,12,"2024-08-18",309
223,16,"2003-08-26",486
224,16,"2022-03-04",219
225,16,"2008-10-18",407
226,16,"2016-06-22",403
227,20,"2018-01-13",203
228,18,"2013-07-17",552
229,15,"2012-02-14",272
230,2,"2017-02-04",394
231,1,"2002-05-23",227
232,7,"2024-01-28",527
233,16,"2012-04-01",410
234,19,"2003-12-09",463
235,14,"2005-02-06",241
236,20,"2021-06-15",454
237,6,"2003-09-25",236
238,5,"2005-08-01",271
239,15,"2004-03-14",356
240,10,"2021-07-16",560
241,3,"2005-08-05",217
242,12,"2020-06-19",361
243,8,"2002-07-02",562
244,13,"2003-03-10",264
245,10,"2020-06-08",356
246,19,"2012-03-15",380
247,17,"2022-04-21",486
248,5,"2008-11-22",562
249,19,"2024-06-18",557
250,3,"2018-12-01",386
251,15,"2005-10-15",284
252,10,"2020-05-27",277
253,14,"2010-11-27",558
254,1,"2006-05-08",425
255,14,"2012-11-10",236
256,20,"2023-09-10",259
257,16,"2023-03-11",498
258,15,"2021-04-09",313
259,20,"2012-03-06",558
260,18,"2018-08-22",463
261,7,"2019-12-02",352
262,15,"2011-12-26",369
263,13,"2001-02-14",559
264,7,"2019-04-19",408
265,9,"2011-04-24",535
266,13,"2024-08-09",537
267,1,"2022-02-12",504
268,1,"2018-11-04",594
269,2,"2001-10-20",200
270,5,"2007-03-19",478
271,16,"2017-12-23",389
272,17,"2004-09-03",501
273,1,"2022-06-23",468
274,11,"2016-08-27",317
275,9,"2012-02-18",577
276,13,"2008-10-06",491
277,14,"2012-03-16",446
278,4,"2016-01-26",481
279,5,"2003-08-06",386
280,9,"2015-10-18",494
281,5,"2014-06-27",457
282,9,"2020-01-17",364
283,16,"2008-02-20",599
284,7,"2018-09-19",262
285,18,"2013-10-18",382
286,10,"2003-07-08",561
287,8,"2024-06-15",332
288,15,"2007-02-17",400
289,16,"2007-06-15",272
290,2,"2001-10-24",454
291,6,"2019-10-08",523
292,14,"2018-01-10",441
293,9,"2010-02-19",505
294,1,"2002-10-14",509
295,5,"2006-08-19",551
296,9,"2004-11-17",274
297,4,"2001-01-19",490
298,2,"2003-04-15",335
299,5,"2010-10-04",246
300,19,"2022-03-14",434
301,1,"2002-09-25",510
302,5,"2008-03-04",529
303,16,"2010-10-02",208
304,15,"2016-11-15",257
305,8,"2022-09-14",226
306,7,"2007-08-15",265
307,18,"2017-07-09",289
308,8,"2014-07-14",217
309,6,"2019-06-04",248
310,8,"2006-10-19",316
311,19,"2017-05-09",463
312,1,"2006-04-24",414
313,5,"2010-12-22",428
314,11,"2022-02-22",539
315,9,"2005-05-17",414
316,14,"2004-03-01",294
317,7,"2015-12-17",209
318,20,"2024-06-11",429
319,11,"2017-04-05",299
320,14,"2016-02-28",500
321,10,"2008-07-10",585
322,15,"2013-08-26",467
323,12,"2022-08-18",526
324,17,"2010-07-20",325
325,11,"2017-04-14",245
326,12,"2021-01-20",268
327,7,"2024-04-24",421
328,18,"2021-10-17",221
329,12,"2005-04-23",482
330,8,"2002-07-24",250
331,15,"2004-06-06",444
332,3,"2002-09-02",339
333,8,"2023-01-14",289
334,4,"2014-02-16",292
335,6,"2007-08-06",415
336,6,"2019-01-17",566
337,3,"2006-11-03",307
338,2,"2023-09-26",478
339,12,"2023-10-11",264
340,15,"2014-06-08",231
341,5,"2019-09-13",586
342,1,"2017-06-06",240
343,17,"2019-05-24",578
344,19,"2020-02-12",228
345,18,"2008-06-18",526
346,6,"2014-06-18",452
347,10,"2007-06-03",583
348,16,"2016-03-06",424
349,4,"2016-08-22",324
350,11,"2024-03-22",461
351,16,"2010-07-24",558
352,15,"2022-09-06",531
353,20,"2011-09-08",252
354,3,"2002-10-18",219
355,7,"2008-03-12",439
356,5,"2006-03-13",358
357,1,"2022-01-07",317
358,3,"2017-03-17",538
359,16,"2007-10-20",463
360,4,"2001-06-27",417
361,1,"2023-06-09",295
362,13,"2015-08-25",427
363,17,"2018-08-25",203
364,20,"2021-07-04",355
365,3,"2003-04-17",426
366,18,"2022-08-24",386
367,11,"2018-11-23",434
368,20,"2005-11-19",320
369,1,"2024-04-16",330
370,20,"2012-11-05",316
371,11,"2005-01-08",374
372,8,"2016-11-20",241
373,17,"2023-08-07",480
374,6,"2012-02-26",285
375,4,"2024-01-16",407
376,19,"2021-03-14",378
377,3,"2002-06-21",339
378,11,"2003-12-24",489
379,8,"2015-10-01",273
380,11,"2001-08-22",519
381,7,"2017-03-24",595
382,4,"2003-09-25",524
383,17,"2024-02-08",215
384,7,"2018-05-05",221
385,10,"2004-06-18",518
386,19,"2007-12-26",279
387,6,"2013-03-16",320
388,4,"2014-04-26",481
389,3,"2018-10-19",520
390,13,"2021-06-06",350
391,7,"2001-06-19",312
392,8,"2009-11-09",277
393,7,"2020-02-04",299
394,15,"2009-07-16",429
395,11,"2013-10-07",278
396,14,"2022-07-01",442
397,12,"2014-06-06",467
398,3,"2015-11-10",320
399,16,"2023-06-07",494
400,18,"2017-11-24",411
401,14,"2023-09-05",352
402,13,"2019-10-10",586
403,11,"2002-04-11",575
404,19,"2019-06-03",421
405,2,"2011-10-19",400
406,7,"2017-10-21",344
407,7,"2002-05-19",413
408,3,"2018-03-06",257
409,9,"2004-09-09",458
410,13,"2013-07-22",406
411,3,"2013-10-18",313
412,10,"2013-07-02",324
413,19,"2010-02-18",266
414,14,"2012-02-09",482
415,20,"2024-08-14",430
416,4,"2021-07-20",408
417,17,"2016-03-15",373
418,13,"2008-08-08",408
419,19,"2012-05-18",350
420,19,"2011-08-11",509
421,20,"2008-05-09",428
422,17,"2013-08-26",575
423,7,"2008-07-13",456
424,19,"2001-12-27",333
425,5,"2014-01-21",280
426,1,"2023-06-22",226
427,2,"2021-08-27",394
428,14,"2014-11-08",227
429,11,"2016-03-08",449
430,17,"2013-07-28",356
431,15,"2004-08-02",303
432,7,"2002-03-28",580
433,16,"2006-04-28",584
434,19,"2012-03-08",493
435,6,"2005-02-08",213
436,15,"2002-02-12",541
437,16,"2013-11-10",209
438,13,"2016-10-21",201
439,10,"2020-03-19",205
440,2,"2002-09-22",568
441,16,"2019-06-22",551
442,13,"2020-11-08",418
443,10,"2010-09-24",578
444,5,"2003-12-14",316
445,20,"2002-10-08",398
446,13,"2003-11-02",423
447,10,"2015-02-10",315
448,5,"2009-03-17",375
449,7,"2019-01-16",377
450,11,"2022-05-17",343
451,3,"2009-02-16",459
452,10,"2002-01-13",249
453,17,"2021-10-20",232
454,12,"2006-10-22",511
455,7,"2017-09-19",272
456,19,"2013-10-28",388
457,19,"2011-05-07",562
458,10,"2011-05-05",541
459,3,"2003-01-22",460
460,7,"2019-04-19",466
461,16,"2001-11-21",541
462,18,"2005-07-20",215
463,8,"2007-03-04",239
464,7,"2001-02-07",205
465,13,"2024-12-21",381
466,12,"2021-05-28",461
467,9,"2003-12-22",555
468,17,"2014-06-20",359
469,11,"2018-03-05",511
470,13,"2016-03-02",254
471,6,"2016-07-02",329
472,6,"2021-07-08",345
473,5,"2005-05-19",323
474,1,"2013-12-24",447
475,2,"2004-06-18",336
476,16,"2006-08-07",277
477,11,"2005-08-05",580
478,9,"2005-07-16",279
479,20,"2012-05-06",551
480,17,"2024-01-10",228
481,13,"2004-11-16",385
482,16,"2003-07-20",459
483,15,"2017-10-23",230
484,7,"2004-09-08",555
485,13,"2024-11-19",526
486,16,"2018-09-10",384
487,15,"2019-01-14",433
488,8,"2014-04-09",586
489,6,"2015-10-10",316
490,5,"2001-05-06",434
491,20,"2015-01-09",475
492,3,"2021-02-22",356
493,3,"2003-09-28",533
494,6,"2019-08-08",595
495,13,"2014-04-13",292
496,16,"2009-10-21",544
497,12,"2019-12-21",539
498,9,"2011-04-01",459
499,5,"2004-08-20",493
500,13,"2009-06-06",381
