"orderid","customerid","orderdate","totalamount"
501,1,"2004-07-26",443
502,20,"2023-01-18",287
503,12,"2006-02-04",270
504,17,"2016-10-13",309
505,15,"2011-11-10",350
506,2,"2018-01-11",473
507,20,"2024-06-13",594
508,16,"2018-07-14",353
509,20,"2005-07-03",202
510,4,"2008-10-16",354
511,4,"2006-03-19",361
512,9,"2010-09-10",455
513,20,"2011-04-18",351
514,16,"2001-04-12",463
515,2,"2012-09-07",442
516,9,"2016-12-03",586
517,3,"2010-01-02",310
518,8,"2002-03-15",581
519,3,"2012-09-08",244
520,7,"2008-08-10",373
521,11,"2011-05-19",260
522,13,"2012-10-01",529
523,2,"2005-01-15",383
524,16,"2008-07-06",246
525,11,"2009-04-08",248
526,12,"2007-09-02",449
527,18,"2008-05-20",238
528,16,"2007-10-16",348
529,16,"2014-03-28",530
530,9,"2022-03-26",598
531,13,"2012-06-02",243
532,11,"2001-07-10",485
533,10,"2016-05-22",371
534,4,"2011-08-09",335
535,7,"2015-10-01",574
536,11,"2010-05-18",454
537,3,"2015-08-21",485
538,5,"2019-01-19",389
539,1,"2005-10-20",491
540,16,"2019-03-24",452
541,10,"2002-12-24",395
542,18,"2007-11-05",269
543,8,"2011-11-12",241
544,9,"2016-07-19",252
545,9,"2005-11-10",226
546,9,"2010-01-20",502
547,10,"2005-11-18",248
548,17,"2006-03-17",435
549,17,"2003-04-11",532
550,8,"2020-08-28",456
551,11,"2004-10-25",208
552,19,"2024-02-18",276
553,8,"2006-05-16",332
554,10,"2004-12-28",386
555,20,"2001-01-05",301
556,1,"2007-11-04",322
557,10,"2002-04-14",473
558,17,"2004-02-22",375
559,3,"2003-04-12",378
560,11,"2002-07-09",550
561,6,"2001-03-11",433
562,8,"2016-10-25",446
563,2,"2016-05-27",284
564,10,"2021-01-04",469
565,2,"2005-08-13",419
566,8,"2018-11-04",240
567,4,"2024-08-26",250
568,17,"2007-08-07",433
569,7,"2012-09-22",455
570,20,"2019-10-18",495
571,14,"2004-09-25",274
572,5,"2009-07-22",202
573,6,"2022-02-08",245
574,7,"2023-01-04",600
575,20,"2015-04-27",421
576,17,"2004-04-22",516
577,4,"2008-07-10",259
578,13,"2022-04-19",588
579,7,"2005-01-17",219
580,3,"2024-12-12",415
581,17,"2014-06-25",598
582,11,"2006-05-01",250
583,12,"2011-06-24",227
584,3,"2012-05-15",391
585,16,"2003-06-06",251
586,16,"2020-05-02",399
587,7,"2004-09-14",597
588,15,"2007-06-02",434
589,4,"2010-11-06",278
590,11,"2018-07-15",316
591,16,"2021-09-11",260
592,9,"2023-02-26",482
593,3,"2010-12-11",296
594,2,"2023-11-22",483
595,6,"2013-12-22",303
596,3,"2022-01-12",279
597,20,"2006-10-28",478
598,11,"2014-11-12",380
599,20,"2023-11-20",237
600,13,"2016-05-17",540
601,9,"2013-03-09",500
602,18,"2006-01-25",343
603,9,"2017-04-28",472
604,4,"2022-05-05",266
605,16,"2013-01-28",287
606,18,"2021-07-18",573
607,14,"2017-06-28",582
608,8,"2009-08-01",545
609,11,"2020-06-23",549
610,3,"2006-02-19",400
611,4,"2021-06-25",451
612,5,"2018-01-13",388
613,7,"2022-06-04",476
614,9,"2011-02-10",445
615,14,"2004-09-07",298
616,11,"2013-01-04",235
617,1,"2017-06-04",495
618,6,"2009-10-22",240
619,20,"2013-01-26",225
620,17,"2002-11-20",357
621,9,"2022-04-19",217
622,4,"2014-11-09",305
623,9,"2014-09-17",341
624,13,"2019-10-09",503
625,1,"2024-08-02",236
626,5,"2012-12-03",333
627,9,"2007-09-10",208
628,16,"2012-07-21",230
629,6,"2005-03-23",322
630,4,"2008-07-01",556
631,12,"2008-06-09",236
632,13,"2006-11-15",351
633,3,"2020-10-28",437
634,14,"2017-02-21",460
635,2,"2009-06-02",378
636,20,"2022-10-23",207
637,4,"2005-03-19",482
638,14,"2012-08-23",343
639,13,"2013-02-05",568
640,15,"2005-01-03",481
641,18,"2012-04-11",577
642,13,"2016-10-22",506
643,6,"2022-08-07",241
644,1,"2005-05-27",295
645,15,"2008-05-02",462
646,8,"2010-08-19",508
647,20,"2017-07-09",350
648,18,"2010-12-21",570
649,20,"2001-09-15",473
650,8,"2016-04-17",523
651,17,"2009-02-07",447
652,13,"2017-08-03",580
653,19,"2023-12-25",258
654,15,"2020-03-15",494
655,3,"2024-10-20",582
656,7,"2005-01-05",382
657,11,"2022-09-08",348
658,20,"2017-03-07",580
659,4,"2021-09-24",334
660,9,"2012-11-08",432
661,5,"2003-05-07",369
662,3,"2004-03-28",272
663,8,"2022-10-18",272
664,14,"2013-06-28",347
665,1,"2010-11-07",577
666,13,"2008-02-16",358
667,9,"2019-03-14",377
668,12,"2001-08-12",264
669,16,"2013-09-05",378
670,5,"2001-08-14",295
671,14,"2016-06-08",491
672,12,"2015-07-26",279
673,2,"2001-03-02",361
674,14,"2010-04-17",575
675,11,"2018-12-15",311
676,6,"2017-10-17",200
677,7,"2021-12-20",503
678,14,"2011-09-21",598
679,2,"2016-01-23",589
680,6,"2022-01-16",573
681,2,"2004-08-08",547
682,11,"2024-01-16",384
683,12,"2014-10-02",379
684,13,"2012-06-01",388
685,4,"2021-05-10",439
686,19,"2001-10-09",329
687,17,"2002-01-27",360
688,5,"2009-06-11",402
689,3,"2005-08-20",577
690,6,"2009-06-13",415
691,19,"2023-02-12",459
692,1,"2018-04-01",284
693,6,"2002-08-19",298
694,15,"2006-05-28",532
695,15,"2017-10-25",380
696,13,"2008-12-18",217
697,7,"2017-05-02",311
698,19,"2008-01-27",351
699,14,"2006-05-07",258
700,1,"2018-03-25",229
701,11,"2008-07-19",382
702,7,"2008-02-12",553
703,16,"2006-07-01",433
704,16,"2018-10-16",451
705,2,"2001-04-06",551
706,3,"2017-01-12",508
707,19,"2018-10-27",274
708,13,"2019-01-13",458
709,20,"2019-07-21",474
710,5,"2023-06-24",230
711,9,"2016-09-04",307
712,1,"2018-07-28",472
713,2,"2021-08-18",318
714,18,"2005-01-22",345
715,17,"2017-09-05",321
716,10,"2003-10-10",386
717,4,"2006-01-22",417
718,6,"2015-10-10",209
719,4,"2014-11-02",315
720,5,"2002-04-15",465
721,18,"2001-03-22",513
722,16,"2001-09-19",354
723,11,"2020-08-14",453
724,18,"2005-05-07",266
725,11,"2012-02-22",538
726,4,"2006-01-01",525
727,12,"2003-06-19",272
728,18,"2001-11-06",273
729,1,"2015-06-24",483
730,9,"2010-09-28",426
731,16,"2006-07-25",478
732,4,"2011-04-22",503
733,8,"2020-01-17",240
734,20,"2017-07-01",562
735,17,"2011-06-01",439
736,20,"2007-01-15",339
737,19,"2021-09-27",236
738,16,"2006-05-15",388
739,15,"2024-04-01",530
740,7,"2005-01-28",242
741,4,"2015-10-02",384
742,11,"2012-07-12",515
743,7,"2008-01-23",286
744,16,"2006-05-23",388
745,14,"2014-12-14",236
746,1,"2020-10-09",456
747,9,"2017-02-20",544
748,14,"2001-02-12",208
749,3,"2005-08-09",570
750,17,"2019-12-04",577
751,17,"2009-10-27",543
752,4,"2022-12-19",447
753,12,"2015-10-15",511
754,14,"2019-07-02",412
755,7,"2001-04-12",356
756,7,"2005-09-16",261
757,16,"2001-11-19",270
758,4,"2023-09-14",546
759,4,"2020-08-24",260
760,8,"2020-06-04",286
761,4,"2016-12-17",407
762,20,"2015-02-01",494
763,10,"2011-01-10",546
764,10,"2018-06-26",596
765,19,"2021-03-14",505
766,10,"2005-06-28",201
767,14,"2020-07-24",343
768,12,"2004-01-14",555
769,7,"2022-04-05",488
770,12,"2002-04-24",337
771,12,"2002-03-20",443
772,15,"2023-09-17",385
773,15,"2018-07-07",232
774,3,"2008-07-14",544
775,19,"2021-01-09",377
776,2,"2009-05-20",424
777,2,"2017-07-27",382
778,8,"2018-04-02",315
779,1,"2017-11-07",222
780,17,"2020-04-10",549
781,4,"2007-10-20",511
782,13,"2014-04-24",538
783,12,"2009-09-27",473
784,12,"2022-01-08",409
785,10,"2004-05-08",334
786,18,"2020-02-06",276
787,7,"2022-06-01",553
788,13,"2001-12-24",385
789,1,"2012-02-07",480
790,12,"2004-12-15",450
791,7,"2015-06-02",458
792,2,"2018-01-18",493
793,8,"2001-03-10",288
794,15,"2015-09-06",410
795,20,"2006-09-15",359
796,13,"2023-06-13",546
797,3,"2008-04-15",495
798,1,"2022-01-11",583
799,7,"2013-03-07",204
800,12,"2017-10-12",249
801,10,"2007-06-23",548
802,7,"2007-07-03",365
803,13,"2010-12-23",568
804,19,"2014-09-10",263
805,1,"2006-10-19",200
806,2,"2014-04-10",442
807,6,"2020-03-25",458
808,7,"2009-06-16",470
809,14,"2017-06-10",480
810,13,"2018-11-18",300
811,2,"2015-08-19",420
812,20,"2015-05-19",315
813,14,"2007-12-17",487
814,14,"2012-08-02",483
815,2,"2003-04-27",410
816,6,"2012-04-24",596
817,20,"2022-03-25",316
818,6,"2010-02-06",361
819,11,"2011-02-01",435
820,16,"2013-03-09",421
821,10,"2015-12-01",203
822,20,"2009-01-11",533
823,13,"2007-12-13",590
824,4,"2012-09-20",554
825,18,"2003-01-26",227
826,13,"2020-03-20",269
827,17,"2019-08-15",599
828,9,"2008-11-25",419
829,3,"2020-04-04",241
830,6,"2008-07-21",478
831,19,"2020-10-05",558
832,18,"2023-07-16",336
833,7,"2018-01-17",218
834,7,"2019-01-23",583
835,12,"2011-11-28",349
836,12,"2007-10-17",223
837,17,"2013-03-21",435
838,2,"2007-11-05",233
839,10,"2006-10-14",511
840,7,"2002-09-15",335
841,1,"2015-08-03",382
842,1,"2022-08-23",293
843,20,"2012-04-16",277
844,7,"2009-10-23",572
845,6,"2021-12-07",417
846,18,"2008-01-09",283
847,3,"2016-07-09",381
848,7,"2016-09-27",305
849,14,"2017-07-13",404
850,15,"2022-05-26",565
851,4,"2024-01-11",307
852,2,"2003-10-23",406
853,14,"2011-10-25",580
854,8,"2023-11-17",389
855,8,"2021-06-21",476
856,9,"2006-01-07",333
857,4,"2023-03-21",408
858,7,"2002-06-24",321
859,13,"2010-03-03",517
860,3,"2011-06-11",495
861,14,"2016-04-24",476
862,6,"2016-06-03",260
863,6,"2005-03-10",331
864,10,"2005-11-06",507
865,13,"2016-12-01",344
866,14,"2007-11-10",594
867,20,"2015-07-02",349
868,14,"2017-09-04",568
869,12,"2010-01-03",257
870,18,"2001-10-01",447
871,3,"2011-03-12",485
872,11,"2004-09-02",353
873,7,"2004-03-13",385
874,18,"2010-11-11",403
875,18,"2001-06-21",584
876,10,"2024-11-25",526
877,17,"2005-07-15",526
878,6,"2024-11-16",476
879,1,"2014-03-22",379
880,5,"2005-05-28",550
881,8,"2014-08-23",549
882,13,"2014-04-08",305
883,2,"2018-04-23",374
884,5,"2005-03-14",466
885,6,"2015-03-16",476
886,17,"2001-09-27",497
887,10,"2023-02-03",448
888,4,"2020-03-21",471
889,7,"2018-03-17",390
890,15,"2007-01-04",338
891,3,"2007-02-07",372
892,17,"2013-09-11",363
893,2,"2010-01-18",574
894,16,"2015-01-06",446
895,10,"2010-05-11",333
896,18,"2013-01-10",472
897,16,"2017-02-22",558
898,7,"2014-10-07",566
899,9,"2021-10-15",346
900,16,"2007-01-26",246
901,17,"2007-03-21",591
902,5,"2023-08-01",434
903,6,"2010-12-15",388
904,16,"2018-07-03",315
905,8,"2005-08-08",296
906,13,"2019-07-05",231
907,16,"2020-11-09",253
908,2,"2010-10-13",208
909,16,"2017-01-16",362
910,12,"2018-09-25",407
911,16,"2007-06-20",383
912,12,"2003-12-10",229
913,2,"2005-01-21",325
914,20,"2012-01-18",358
915,6,"2002-10-03",257
916,20,"2023-10-02",443
917,3,"2023-10-27",426
918,7,"2010-11-18",448
919,11,"2003-12-24",423
920,9,"2014-08-09",571
921,9,"2013-09-13",472
922,18,"2023-01-27",487
923,6,"2002-11-06",599
924,2,"2004-01-19",276
925,3,"2023-04-06",327
926,18,"2024-01-09",253
927,11,"2019-08-08",383
928,8,"2004-06-01",480
929,9,"2014-06-02",413
930,12,"2001-03-04",346
931,8,"2011-03-11",559
932,14,"2010-08-04",368
933,8,"2012-12-14",320
934,20,"2001-07-15",579
935,5,"2004-08-14",498
936,6,"2020-02-27",483
937,16,"2011-08-04",328
938,9,"2004-10-17",468
939,13,"2001-01-08",334
940,6,"2006-02-11",242
941,2,"2002-02-25",451
942,9,"2021-07-01",231
943,15,"2012-06-01",256
944,1,"2019-04-08",447
945,11,"2018-01-10",325
946,17,"2007-11-01",400
947,17,"2014-10-24",315
948,3,"2011-08-01",287
949,9,"2006-08-12",395
950,12,"2015-02-22",263
951,13,"2006-08-11",282
952,15,"2005-02-03",401
953,19,"2019-07-22",515
954,5,"2018-12-14",389
955,20,"2015-07-15",262
956,7,"2013-08-10",562
957,7,"2024-03-16",276
958,4,"2020-11-26",527
959,14,"2023-12-25",462
960,20,"2018-12-18",523
961,3,"2022-06-21",269
962,6,"2006-12-20",491
963,9,"2017-05-26",556
964,10,"2015-03-04",229
965,8,"2008-04-06",522
966,4,"2023-01-03",312
967,4,"2009-12-13",362
968,10,"2013-06-09",311
969,3,"2024-01-10",372
970,13,"2010-07-22",406
971,20,"2001-08-20",490
972,10,"2008-03-15",477
973,10,"2003-02-16",508
974,6,"2015-11-20",526
975,8,"2003-10-27",485
976,6,"2024-01-26",287
977,10,"2020-03-09",298
978,3,"2008-04-28",455
979,17,"2016-05-11",551
980,20,"2016-01-05",392
981,17,"2009-10-26",428
982,9,"2012-07-22",313
983,2,"2003-08-08",577
984,14,"2008-03-23",368
985,1,"2018-04-13",555
986,10,"2007-09-03",361
987,1,"2012-12-20",533
988,13,"2003-10-26",283
989,18,"2011-04-26",273
990,20,"2002-01-13",486
991,16,"2014-12-03",447
992,6,"2001-06-01",291
993,4,"2007-06-07",479
994,6,"2013-12-27",562
995,12,"2013-01-04",442
996,9,"2003-03-06",234
997,15,"2007-09-08",309
998,3,"2006-09-19",271
999,15,"2016-09-07",233
1000,15,"2006-02-06",336
